Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 190/594] Loss: 4.5471 | Cls: 4.5458 | Loc: 4.5484
  [Batch 200/594] Loss: 4.5167 | Cls: 4.5157 | Loc: 4.5178
  [Batch 210/594] Loss: 4.5332 | Cls: 4.5323 | Loc: 4.5340
  [Batch 220/594] Loss: 4.5838 | Cls: 4.5828 | Loc: 4.5849
  [Batch 230/594] Loss: 4.6107 | Cls: 4.6094 | Loc: 4.6120
  [Batch 240/594] Loss: 4.6081 | Cls: 4.6068 | Loc: 4.6094
  [Batch 250/594] Loss: 4.5998 | Cls: 4.5980 | Loc: 4.6016
  [Batch 260/594] Loss: 4.5386 | Cls: 4.5376 | Loc: 4.5397
  [Batch 270/594] Loss: 4.6117 | Cls: 4.6098 | Loc: 4.6136
  [Batch 280/594] Loss: 4.6717 | Cls: 4.6702 | Loc: 4.6732
  [Batch 290/594] Loss: 4.6774 | Cls: 4.6757 | Loc: 4.6792
  [Batch 300/594] Loss: 4.6253 | Cls: 4.6236 | Loc: 4.6271
  [Batch 310/594] Loss: 4.6457 | Cls: 4.6448 | Loc: 4.6465
  [Batch 320/594] Loss: 4.6461 | Cls: 4.6449 | Loc: 4.6474
  [Batch 330/594] Loss: 4.6447 | Cls: 4.6432 | Loc: 4.6463
  [Batch 340/594] Loss: 4.6184 | Cls: 4.6179 | Loc: 4.6190
  [Batch 350/594] Loss: 4.6167 | Cls: 4.6155 | Loc: 4.6179
  [Batch 360/594] Loss: 4.5516 | Cls: 4.5506 | Loc: 4.5526
  [Batch 370/594] Loss: 4.6328 | Cls: 4.6310 | Loc: 4.6346
  [Batch 380/594] Loss: 4.5472 | Cls: 4.5451 | Loc: 4.5494
  [Batch 390/594] Loss: 4.6254 | Cls: 4.6221 | Loc: 4.6287
  [Batch 400/594] Loss: 4.5957 | Cls: 4.5927 | Loc: 4.5986
  [Batch 410/594] Loss: 4.5574 | Cls: 4.5545 | Loc: 4.5602
  [Batch 420/594] Loss: 4.6292 | Cls: 4.6245 | Loc: 4.6339
  [Batch 430/594] Loss: 4.6717 | Cls: 4.6686 | Loc: 4.6747
  [Batch 440/594] Loss: 4.6090 | Cls: 4.6039 | Loc: 4.6141
  [Batch 450/594] Loss: 4.5724 | Cls: 4.5680 | Loc: 4.5768
  [Batch 460/594] Loss: 4.6367 | Cls: 4.6333 | Loc: 4.6401
  [Batch 470/594] Loss: 4.5060 | Cls: 4.5003 | Loc: 4.5116
  [Batch 480/594] Loss: 4.6963 | Cls: 4.6902 | Loc: 4.7025
  [Batch 490/594] Loss: 4.6332 | Cls: 4.6259 | Loc: 4.6404
  [Batch 500/594] Loss: 4.5313 | Cls: 4.5256 | Loc: 4.5369
  [Batch 510/594] Loss: 4.5959 | Cls: 4.5903 | Loc: 4.6014
  [Batch 520/594] Loss: 4.6644 | Cls: 4.6625 | Loc: 4.6663
  [Batch 530/594] Loss: 4.5048 | Cls: 4.4991 | Loc: 4.5104
  [Batch 540/594] Loss: 4.6438 | Cls: 4.6396 | Loc: 4.6480
  [Batch 550/594] Loss: 4.6504 | Cls: 4.6480 | Loc: 4.6528
  [Batch 560/594] Loss: 4.5498 | Cls: 4.5472 | Loc: 4.5523
  [Batch 570/594] Loss: 4.6656 | Cls: 4.6629 | Loc: 4.6683
  [Batch 580/594] Loss: 4.7140 | Cls: 4.7122 | Loc: 4.7157
  [Batch 590/594] Loss: 4.6548 | Cls: 4.6535 | Loc: 4.6561
  [Batch 594/594] Loss: 4.6743 | Cls: 4.6725 | Loc: 4.6761
Epoch 3 Train - Loc Loss: 4.6115 | Cls Loss: 4.6066 | Tot Loss: 4.6090 | Acc: 2.02% | F1: 0.0008
  [Batch 10/86] Loss: 4.6706 | Cls: 4.6688 | Loc: 4.6724
  [Batch 20/86] Loss: 4.5955 | Cls: 4.5931 | Loc: 4.5979
  [Batch 30/86] Loss: 4.5068 | Cls: 4.5026 | Loc: 4.5111
  [Batch 40/86] Loss: 4.6816 | Cls: 4.6760 | Loc: 4.6872
  [Batch 50/86] Loss: 4.5911 | Cls: 4.5861 | Loc: 4.5960
  [Batch 60/86] Loss: 4.5900 | Cls: 4.5864 | Loc: 4.5936
  [Batch 70/86] Loss: 4.5639 | Cls: 4.5602 | Loc: 4.5676
  [Batch 80/86] Loss: 4.7193 | Cls: 4.7153 | Loc: 4.7233
  [Batch 86/86] Loss: 4.6614 | Cls: 4.6569 | Loc: 4.6659
Epoch 3 Val - Loc Loss: 4.6102 | Cls Loss: 4.6027 | Tot Loss: 4.6065 | Acc: 1.55% | F1: 0.0005
--------------------------------------------------------------------------------
  [Batch 10/594] Loss: 4.5891 | Cls: 4.5873 | Loc: 4.5909
  [Batch 20/594] Loss: 4.6522 | Cls: 4.6516 | Loc: 4.6528
  [Batch 30/594] Loss: 4.6412 | Cls: 4.6330 | Loc: 4.6494
  [Batch 40/594] Loss: 4.6415 | Cls: 4.6366 | Loc: 4.6464
  [Batch 50/594] Loss: 4.6963 | Cls: 4.6898 | Loc: 4.7028
  [Batch 60/594] Loss: 4.6321 | Cls: 4.6301 | Loc: 4.6342
  [Batch 70/594] Loss: 4.6318 | Cls: 4.6302 | Loc: 4.6334
  [Batch 80/594] Loss: 4.6072 | Cls: 4.6054 | Loc: 4.6090
  [Batch 90/594] Loss: 4.5671 | Cls: 4.5643 | Loc: 4.5700
  [Batch 100/594] Loss: 4.6022 | Cls: 4.6013 | Loc: 4.6030
  [Batch 110/594] Loss: 4.5376 | Cls: 4.5363 | Loc: 4.5389
  [Batch 120/594] Loss: 4.6547 | Cls: 4.6538 | Loc: 4.6557
  [Batch 130/594] Loss: 4.6227 | Cls: 4.6214 | Loc: 4.6240
  [Batch 140/594] Loss: 4.6545 | Cls: 4.6535 | Loc: 4.6554
  [Batch 150/594] Loss: 4.5558 | Cls: 4.5546 | Loc: 4.5570
  [Batch 160/594] Loss: 4.5914 | Cls: 4.5904 | Loc: 4.5925
