Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 180/594] Loss: 4.1868 | Cls: 4.1729 | Loc: 4.2007
  [Batch 190/594] Loss: 4.1618 | Cls: 4.1447 | Loc: 4.1790
  [Batch 200/594] Loss: 4.2852 | Cls: 4.2726 | Loc: 4.2978
  [Batch 210/594] Loss: 3.7860 | Cls: 3.7632 | Loc: 3.8088
  [Batch 220/594] Loss: 4.0800 | Cls: 4.0672 | Loc: 4.0929
  [Batch 230/594] Loss: 3.7478 | Cls: 3.7136 | Loc: 3.7819
  [Batch 240/594] Loss: 4.0292 | Cls: 4.0128 | Loc: 4.0456
  [Batch 250/594] Loss: 4.1087 | Cls: 4.0917 | Loc: 4.1257
  [Batch 260/594] Loss: 3.8468 | Cls: 3.8255 | Loc: 3.8681
  [Batch 270/594] Loss: 4.0662 | Cls: 4.0361 | Loc: 4.0963
  [Batch 280/594] Loss: 4.0652 | Cls: 4.0519 | Loc: 4.0785
  [Batch 290/594] Loss: 4.4756 | Cls: 4.4562 | Loc: 4.4950
  [Batch 300/594] Loss: 3.9570 | Cls: 3.9388 | Loc: 3.9752
  [Batch 310/594] Loss: 3.3612 | Cls: 3.3379 | Loc: 3.3844
  [Batch 320/594] Loss: 3.5198 | Cls: 3.4843 | Loc: 3.5553
  [Batch 330/594] Loss: 4.1509 | Cls: 4.1300 | Loc: 4.1718
  [Batch 340/594] Loss: 3.6677 | Cls: 3.6500 | Loc: 3.6854
  [Batch 350/594] Loss: 4.3591 | Cls: 4.3415 | Loc: 4.3767
  [Batch 360/594] Loss: 4.3521 | Cls: 4.3342 | Loc: 4.3699
  [Batch 370/594] Loss: 3.5175 | Cls: 3.4869 | Loc: 3.5480
  [Batch 380/594] Loss: 4.2011 | Cls: 4.1810 | Loc: 4.2211
  [Batch 390/594] Loss: 3.5154 | Cls: 3.4825 | Loc: 3.5483
  [Batch 400/594] Loss: 4.1829 | Cls: 4.1632 | Loc: 4.2027
  [Batch 410/594] Loss: 4.0986 | Cls: 4.0775 | Loc: 4.1198
